Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Country,City,State,Postal_Code,Region
CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,42420,South
CA-2016-138688,2016-12-06,6/16/2016,Second Class,DV-13045,Corporate,United States,Los Angeles,California,90036,West
US-2015-108966,2015-11-10,10/18/2015,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,33311,South
CA-2014-115812,2014-09-06,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,90032,West
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,28027,South
CA-2016-161389,2016-05-12,2016-10-12,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,98103,West
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,76106,Central
CA-2014-105893,2014-11-11,11/18/2014,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,53711,Central
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,84084,West
CA-2014-143336,8/27/2014,2014-01-09,Second Class,ZD-21925,Consumer,United States,San Francisco,California,94109,West
CA-2016-137330,2016-09-12,12/13/2016,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,68025,Central
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,United States,Orem,Utah,84057,West
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,United States,Los Angeles,California,90049,West
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,19140,East
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,United States,Houston,Texas,77095,Central
CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Corporate,United States,Richardson,Texas,75080,Central
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central
CA-2017-120999,2017-10-09,9/15/2017,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,60540,Central
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,90049,West
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,32935,South
CA-2016-118255,2016-11-03,3/13/2016,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,55122,Central
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,United States,Westland,Michigan,48185,Central
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,19901,East
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central
CA-2016-105816,2016-11-12,12/17/2016,Standard Class,JM-15265,Corporate,United States,New York City,New York,10024,East
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West
US-2015-164175,4/30/2015,2015-05-05,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,60610,Central
